Region;Country;Manufacturer;Group;Maker/Brand;Type;Segment;Model;Auto/Onroad;PowerTrain;Jan 24;Feb 24;Mrz 24;Apr 24;Mai 24;Jun 24;Jul 24;Aug 24;Sep 24;Okt 24;Nov 24;Dez 24;Jan 25;Feb 25;Mrz 25;Apr 25;Mai 25;Jun 25;Jul 25;Aug 25;Sep 25;Okt 25;Nov 25;Dez 25;Jan 26;Feb 26;Mrz 26;Apr 26;Mai 26;Jun 26;Jul 26;Aug 26;Sep 26;Okt 26;Nov 26;Dez 26
Greater China;Mainland China;FAW Toyota Motor;Toyota Group;Toyota;Sedan/Hatchback;B;Vios;Auto;ICE;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Greater China;Mainland China;FAW Toyota Motor;Toyota Group;Toyota;Sedan/Hatchback;C;Allion;Auto;HV;2;1;32;69;18;0;0;0;1;0;146;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Greater China;Mainland China;FAW Toyota Motor;Toyota Group;Toyota;Sedan/Hatchback;C;Allion;Auto;ICE;45;114;190;84;83;210;0;0;0;0;824;867;12;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Greater China;Mainland China;FAW Toyota Motor/FAW Toyota Motor (Chengdu);Toyota Group;Toyota;Sedan/Hatchback;C;Corolla/New Corolla;Auto;HV;6.125;4.527;4.466;1.999;6.875;7.158;4.866;5.803;3.837;4.250;7.580;11.531;3.276;2.147;4.983;5.012;5.861;7.982;7.277;5.689;5.441;5.630;7.723;6.898;4.096;3.250;8.341;4.234;5.790;2.427;0;0;0;0;0;0
Greater China;Mainland China;FAW Toyota Motor/FAW Toyota Motor (Chengdu);Toyota Group;Toyota;Sedan/Hatchback;C;Corolla/New Corolla;Auto;ICE;4.604;2.189;3.930;1.105;2.666;6.843;4.282;4.633;742;2.079;3.902;6.179;1.341;57;2.465;2.264;3.216;2.166;1.634;1.571;1.353;1.723;1.500;5.064;2;409;2.410;15;8;6;0;0;0;0;0;0
Greater China;Mainland China;Guangqi Toyota Motor;Toyota Group;Toyota;Sedan/Hatchback;C;Levin;Auto;HV;2.492;3.468;4.513;2.208;4.828;5.254;5.061;2.421;2.818;3.365;2.660;2.859;2.069;1.556;1.804;1.575;1.850;3.518;2.273;1.853;1.499;1.409;1.015;515;253;27;43;106;12;0;0;0;0;0;0;0
Greater China;Mainland China;Guangqi Toyota Motor;Toyota Group;Toyota;Sedan/Hatchback;C;Levin;Auto;ICE;1.799;2.176;3.195;2.193;1.884;2.311;1.519;1.337;1.303;1.028;1.140;1.143;561;299;628;351;479;1.357;723;296;345;197;71;240;192;146;64;2;3;10;0;0;0;0;0;0
Greater China;Mainland China;FAW Toyota Motor;Toyota Group;Toyota;Sedan/Hatchback;D;Avalon;Auto;HV;389;781;1.459;1.434;966;1.648;6.932;6.446;4.973;7.319;8.360;7.470;5.395;6.517;7.763;7.797;6.081;8.749;6.371;6.824;7.536;7.888;6.998;8.731;5.490;4.568;5.637;1.806;2.993;5.846;0;0;0;0;0;0
Greater China;Mainland China;FAW Toyota Motor;Toyota Group;Toyota;Sedan/Hatchback;D;Avalon;Auto;ICE;1.073;2.562;4.257;3.717;3.405;2.328;2.653;3.751;2.642;1.878;3.826;5.072;3.421;3.159;2.962;3.382;2.822;4.470;4.022;3.390;3.930;4.504;5.341;5.811;2.838;4.342;2.961;3.008;2.866;4.322;0;0;0;0;0;0
Greater China;Mainland China;Guangqi Toyota Motor;Toyota Group;Toyota;Sedan/Hatchback;D;Camry;Auto;HV;954;300;2.815;12.476;9.932;9.327;10.168;12.506;12.297;14.426;13.941;14.054;12.737;8.306;13.493;8.726;12.356;13.695;9.873;16.670;18.884;13.070;17.029;17.582;17.115;8.380;13.442;7.598;12.448;8.938;0;0;0;0;0;0
