VP: Region;VP: Market;VP: Country/Territory;VP: City;VP: Plant State/Province;VP: Production Plant;VP: Source Plant;VP: Source Plant Country/Territory;VP: Source Plant Region;VP: Sales Group;VP: Sales Parent;VP: Strategic Group;VP: Manufacturer;VP: Manufacturer Group;VP: Design Parent;VP: Platform;VP: Platform Group;VP: Program;VP: Production Nameplate;VP: Vehicle;VP: Production Brand;VP: Engineering Group;VP: Global Nameplate;VP: Actual Date;VP: SOP (Start of Production);VP: EOP (End of Production);VP: Assembly Type;VP: Primary Design Center;VP: Primary Design Country/Territory;VP: Primary Design Region;VP: Secondary Design Center;VP: Secondary Design Country/Territory;VP: Secondary Design Region;VP: Mnemonic Vehicle;VP: Mnemonic Vehicle/Plant;VP: Mnemonic Platform;VP: Mnemonic Plant;VP: Architecture;VP: Platform Design Owner;VP: Vehicle Life Cycle in Month;VP: Mnemonic Core Nameplate Region;VP: Mnemonic Core Nameplate Plant;VP: Car/Truck;VP: Production Type;VP: GVW Rating;VP: GVW Class;VP: Global Production Segment;VP: Global Production Price Class;VP: Global Sales Segment;VP: Global Sales Sub-Segment;VP: Global Sales Price Class;VP: Regional Sales Segment;VP: Regional Sales Price Class;VP: Short-Term Risk Rating;VP: Long-Term Risk Rating;VP: Propulsion Type;CY 2019;CY 2020;CY 2021;CY 2022;CY 2023;CY 2024;CY 2025;CY 2026;CY 2027;CY 2028;CY 2029;CY 2030;CY 2031;CY 2032;CY 2033;Q1 2019;Q2 2019;Q3 2019;Q4 2019;Q1 2020;Q2 2020;Q3 2020;Q4 2020;Q1 2021;Q2 2021;Q3 2021;Q4 2021;Q1 2022;Q2 2022;Q3 2022;Q4 2022;Q1 2023;Q2 2023;Q3 2023;Q4 2023;Q1 2024;Q2 2024;Q3 2024;Q4 2024;Q1 2025;Q2 2025;Q3 2025;Q4 2025;Q1 2026;Q2 2026;Q3 2026;Q4 2026;Q1 2027;Q2 2027;Q3 2027;Q4 2027;Q1 2028;Q2 2028;Q3 2028;Q4 2028;Q1 2029;Q2 2029;Q3 2029;Q4 2029;Q1 2030;Q2 2030;Q3 2030;Q4 2030;Q1 2031;Q2 2031;Q3 2031;Q4 2031;Q1 2032;Q2 2032;Q3 2032;Q4 2032;Q1 2033;Q2 2033;Q3 2033;Q4 2033
Europe;Central Europe;Czech Republic;Kolin;Central Bohemian Region;Kolin;Kolin;Czech Republic;Europe;PSA;Stellantis;Stellantis;Toyota;Toyota;Toyota;B-0;B-0;B3;108;Toyota:Peugeot:108:B3 [0-3.5 PC];Peugeot;Toyota;108;2026-08;2014-05;2021-12;CBU;Toyota-Toyota City;Japan;Japan/Korea;PSA-Sochaux;France;Europe;384002;38400393;13008302;120393;Unibody;Toyota;92;1001607;100000737;Car;PC;0-3.5;0-3.5 PC;A-Segment;Entry;A;Car;1;A-Segment;Mid;1;0;ICE;58345;43340;31821;0;0;0;0;0;0;0;0;0;0;0;0;16941;16152;12390;12862;14384;4746;10107;14103;11932;9263;1914;8712;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Europe;Central Europe;Czech Republic;Kolin;Central Bohemian Region;Kolin;Kolin;Czech Republic;Europe;PSA;Stellantis;Stellantis;Toyota;Toyota;Toyota;B-0;B-0;B4;C1;Toyota:Citroen:C1:B4 [0-3.5 PC];Citroen;Toyota;C1;2026-08;2014-05;2021-12;CBU;Toyota-Toyota City;Japan;Japan/Korea;PSA-Vélizy;France;Europe;606302;60630393;13008302;120393;Unibody;Toyota;92;1008269;100008578;Car;PC;0-3.5;0-3.5 PC;A-Segment;Entry;A;Car;1;A-Segment;Mid;1;0;ICE;52756;39972;29879;0;0;0;0;0;0;0;0;0;0;0;0;15848;13157;12161;11590;13165;3508;9254;14045;10183;10111;1389;8196;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Europe;Central Europe;Czech Republic;Kolin;Central Bohemian Region;Kolin;Kolin;Czech Republic;Europe;Suzuki;Suzuki;Toyota;Toyota;Toyota;Toyota;GA-B;TNGA;690D;B-CUV EV;Toyota:Suzuki:B-CUV EV:690D [0-3.5 PC];Suzuki;Toyota;B-CUV EV;2026-08;2028-10;2034-06;CBU;Toyota-Toyota City;Japan;Japan/Korea;Toyota-Toyota City;Japan;Japan/Korea;3641102;364110393;13132502;120393;Unibody;Toyota;69;100051969;100060583;LTR;PC;0-3.5;0-3.5 PC;B-Segment;Mid;B;SUV;1;B-Segment;Mid;2;2;BEV;0;0;0;0;0;0;0;0;0;3510;14493;17525;19059;19834;19203;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3510;3624;3705;3305;3859;4304;4533;4067;4621;4867;4959;4333;4900;5149;5232;4481;4972;5048;5050;4295;4810
Europe;Central Europe;Czech Republic;Kolin;Central Bohemian Region;Kolin;Kolin;Czech Republic;Europe;Toyota;Toyota;Toyota;Toyota;Toyota;Toyota;B-0;B-0;200A/201A;Aygo;Toyota:Toyota:Aygo:200A/201A [0-3.5 PC];Toyota;Toyota;Aygo;2026-08;2014-05;2021-12;CBU;Toyota-Toyota City;Japan;Japan/Korea;Toyota-Toyota City;Japan;Japan/Korea;183402;18340393;13008302;120393;Unibody;Toyota;92;1001108;100013199;Car;PC;0-3.5;0-3.5 PC;A-Segment;Entry;A;Car;1;A-Segment;Mid;1;0;ICE;98670;81408;79439;0;0;0;0;0;0;0;0;0;0;0;0;25843;28515;20236;24076;25654;8273;23597;23884;26262;32434;6413;14330;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Europe;Central Europe;Czech Republic;Kolin;Central Bohemian Region;Kolin;Kolin;Czech Republic;Europe;Toyota;Toyota;Toyota;Toyota;Toyota;Toyota;GA-B;TNGA;400B;Yaris;Toyota:Toyota:Yaris:400B [0-3.5 PC];Toyota;Toyota;Yaris;2026-06;2021-11;2030-06;CBU;Toyota-Toyota City;Japan;Japan/Korea;Toyota-Toyota City;Japan;Japan/Korea;1005102;100510393;13132502;120393;Unibody;Toyota;104;1002403;100037364;Car;PC;0-3.5;0-3.5 PC;B-Segment;Entry;B;Car;1;B-Segment;Mid;2;2;HEV;0;0;5065;92119;92875;110897;112748;113070;101916;62365;21132;10213;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5065;19553;22961;23210;26395;16916;31023;15406;29530;31088;29580;22110;28119;29547;29454;27251;26496;31851;27768;25772;27679;24961;28260;22608;26087;20852;19569;16018;5926;5538;5586;4744;5264;5084;5129;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Europe;Central Europe;Czech Republic;Kolin;Central Bohemian Region;Kolin;Kolin;Czech Republic;Europe;Toyota;Toyota;Toyota;Toyota;Toyota;Toyota;GA-B;TNGA;400B;Yaris;Toyota:Toyota:Yaris:400B [0-3.5 PC];Toyota;Toyota;Yaris;2026-06;2021-11;2030-06;CBU;Toyota-Toyota City;Japan;Japan/Korea;Toyota-Toyota City;Japan;Japan/Korea;1005102;100510393;13132502;120393;Unibody;Toyota;104;1002403;100037364;Car;PC;0-3.5;0-3.5 PC;B-Segment;Entry;B;Car;1;B-Segment;Mid;2;2;ICE;0;0;1266;24135;11477;13010;851;1143;252;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1266;5514;6476;6546;5599;2090;3834;1904;3649;3647;3470;2594;3299;298;148;137;268;322;281;260;280;252;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Europe;Central Europe;Czech Republic;Kolin;Central Bohemian Region;Kolin;Kolin;Czech Republic;Europe;Toyota;Toyota;Toyota;Toyota;Toyota;Toyota;GA-B;TNGA;600D;Yaris Cross;Toyota:Toyota:Yaris Cross:600D [0-3.5 PC];Toyota;Toyota;Yaris Cross;2026-08;2028-07;2034-06;CBU;Toyota-Toyota City;Japan;Japan/Korea;Toyota-Toyota City;Japan;Japan/Korea;2788702;278870393;13132502;120393;Unibody;Toyota;72;100037530;100040430;LTR;PC;0-3.5;0-3.5 PC;B-Segment;Mid;B;SUV;1;B-Segment;Mid;2;2;BEV;0;0;0;0;0;0;0;0;0;41283;86257;100827;113664;126218;129869;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17583;23700;21777;22203;19625;22652;24868;25985;23339;26635;28486;29292;26070;29816;32013;32926;28830;32449;33753;34136;29292;32688
Europe;Central Europe;Czech Republic;Kolin;Central Bohemian Region;Kolin;Kolin;Czech Republic;Europe;Toyota;Toyota;Toyota;Toyota;Toyota;Toyota;GA-B;TNGA;730B;Aygo X;Toyota:Toyota:Aygo X:730B [0-3.5 PC];Toyota;Toyota;Aygo;2026-06;2022-03;2031-06;CBU;Toyota-Toyota City;Japan;Japan/Korea;Toyota-Toyota City;Japan;Japan/Korea;1542802;154280393;13132502;120393;Unibody;Toyota;112;1002413;100013361;LTR;PC;0-3.5;0-3.5 PC;A-Segment;Entry;A;SUV;1;A-Segment;Mid;2;2;HEV;0;0;0;0;0;0;2699;101013;89726;77550;72456;64534;29809;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;262;2437;30163;28179;22888;19783;22145;24818;19854;22909;21450;20130;16500;19470;19213;19311;16195;17737;17508;17238;14178;15610;14771;15038;0;0;0;0;0;0;0;0;0;0
Europe;Central Europe;Czech Republic;Kolin;Central Bohemian Region;Kolin;Kolin;Czech Republic;Europe;Toyota;Toyota;Toyota;Toyota;Toyota;Toyota;GA-B;TNGA;730B;Aygo X;Toyota:Toyota:Aygo X:730B [0-3.5 PC];Toyota;Toyota;Aygo;2026-06;2022-03;2031-06;CBU;Toyota-Toyota City;Japan;Japan/Korea;Toyota-Toyota City;Japan;Japan/Korea;1542802;154280393;13132502;120393;Unibody;Toyota;112;1002413;100013361;LTR;PC;0-3.5;0-3.5 PC;A-Segment;Entry;A;SUV;1;A-Segment;Mid;2;2;ICE;0;0;0;86287;87667;101324;106165;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7232;27517;24569;26969;14813;28323;14919;29612;29186;27803;21423;22912;28601;28369;25983;23212;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Europe;Central Europe;Czech Republic;Kolin;Central Bohemian Region;Kolin;Kolin;Czech Republic;Europe;Toyota;Toyota;Toyota;Toyota;Toyota;Toyota;GA-C;TNGA;920D;Corolla Cross;Toyota:Toyota:Corolla Cross:920D [0-3.5 PC];Toyota;Toyota;Corolla Cross;2026-08;2031-04;2037-03;CBU;Toyota-Toyota City;Japan;Japan/Korea;Toyota-Toyota City;Japan;Japan/Korea;3522902;352290393;13132602;120393;Unibody;Toyota;72;100048265;100055464;LTR;PC;0-3.5;0-3.5 PC;C-Segment;Mid;C;SUV;1;C-Segment;Mid;0;2;BEV;0;0;0;0;0;0;0;0;0;0;0;0;9137;12901;15289;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3229;2790;3118;3238;3308;2953;3402;3731;3901;3543;4114
